# Start Time: 2018-10-14 22:03:54.787 (5.92826634787E8)
# End Time: 2018-10-15 22:03:54.787 (5.92913034787E8)
# Total Time: 86400.0
# Time Zone: UTC
# Station: YHKR_BHZ_VG_00
# Minumum Gap Duration: 5.0
# GapCount: 11
# Gap Start		Gap End			Duration
5.928407250149999E8	5.928407550149999E8	30.0
5.928459700149999E8	5.928459800149999E8	10.0
5.928466950149999E8	5.928467450149999E8	50.0
5.928489450149999E8	5.928489550149999E8	10.0
5.928909700149999E8	5.928910200149999E8	50.0
5.928935700149999E8	5.928936150149999E8	45.0
5.928940950149999E8	5.928941150149999E8	20.0
5.929041300149999E8	5.929041600049999E8	29.990000009536743
5.9290767501E8	5.9290771501E8	40.0
5.9290912501E8	5.9290917501E8	50.0
5.9291160001E8	5.92913034787E8	1434.776999950409
