# Start Time: 2018-10-14 22:03:53.965 (5.928266339649999E8)
# End Time: 2018-10-15 22:03:53.965 (5.929130339649999E8)
# Total Time: 86400.0
# Time Zone: UTC
# Station: CEGI_BHZ_VG_00
# Minumum Gap Duration: 5.0
# GapCount: 13
# Gap Start		Gap End			Duration
5.928407250149999E8	5.928407550149999E8	30.0
5.928407800149999E8	5.928410050149999E8	225.0
5.928459700149999E8	5.928459800149999E8	10.0
5.928466950149999E8	5.928467450149999E8	50.0
5.928489450149999E8	5.928489550149999E8	10.0
5.928909700149999E8	5.928910200149999E8	50.0
5.928935700149999E8	5.928936150149999E8	45.0
5.928942700149999E8	5.928943250149999E8	55.0
5.928978750149999E8	5.928978900149999E8	15.0
5.928979100149999E8	5.928979250149999E8	15.0
5.929076750149999E8	5.929077150149999E8	40.0
5.929091250149999E8	5.929091750149999E8	50.0
5.929125000149999E8	5.929130339649999E8	533.9500000476837
